Name,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Car Body Style,highway MPG,city MPG
LINCOLN MKZ HYBRID,LINCOLN,MKZ Hybrid,2011,regular unleaded,191,4,Automatic,FrontWheelDrive,4,"Luxury,Hybrid",Sedan,36,41
LINCOLN NAVIGATOR,LINCOLN,Navigator,2015,regular unleaded,365,6,Automatic,four wheel drive,4,Luxury,SUV,20,15
LINCOLN TOWN CAR,LINCOLN,Town Car,2009,flex-fuel (unleaded/E85),239,8,Automatic,RearWheelDrive,4,"Flex Fuel,Luxury",Sedan,24,16
LINCOLN ZEPHYR,LINCOLN,Zephyr,2006,regular unleaded,221,6,Automatic,FrontWheelDrive,4,Luxury,Sedan,26,17
LOTUS ELISE,LOTUS,Elise,2009,premium unleaded (required),189,4,Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,27,21
LOTUS ESPRIT,LOTUS,Esprit,2002,premium unleaded (required),350,8,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,21,14
LOTUS EVORA,LOTUS,Evora,2011,premium unleaded (required),276,6,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,27,18
LOTUS EVORA 400,LOTUS,Evora 400,2017,premium unleaded (required),400,6,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,39,21
LOTUS EXIGE,LOTUS,Exige,2009,premium unleaded (recommended),257,4,Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,26,20
MASERATI COUPE,MASERATI,Coupe,2004,premium unleaded (required),390,8,Manual,RearWheelDrive,2,"Exotic,Luxury,High-Performance",Coupe,15,10
MASERATI GHIBLI,MASERATI,Ghibli,2015,premium unleaded (required),404,6,Automatic,AllWheelDrive,4,"Exotic,Luxury,High-Performance",Sedan,25,15
MASERATI GRANSPORT,MASERATI,GranSport,2005,premium unleaded (required),395,8,Automated_Manual,RearWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,16,11
MASERATI GRANTURISMO,MASERATI,GranTurismo,2014,premium unleaded (required),454,8,Automatic,RearWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,21,13
MASERATI GRANTURISMO CONVERTIBLE,MASERATI,GranTurismo Convertible,2014,premium unleaded (required),454,8,Automatic,RearWheelDrive,2,"Exotic,Luxury,High-Performance",Convertible,20,13
MASERATI LEVANTE,MASERATI,Levante,2017,premium unleaded (required),424,6,Automatic,AllWheelDrive,4,"Crossover,Exotic,Luxury,High-Performance",SUV,19,14
MASERATI QUATTROPORTE,MASERATI,Quattroporte,2015,premium unleaded (required),404,6,Automatic,AllWheelDrive,4,"Exotic,Luxury,High-Performance",Sedan,24,15
MASERATI SPYDER,MASERATI,Spyder,2003,premium unleaded (required),390,8,Manual,RearWheelDrive,2,"Exotic,Luxury,High-Performance",Convertible,15,10
MAYBACH 57,MAYBACH,57,2010,premium unleaded (required),543,12,Automatic,RearWheelDrive,4,"Exotic,Luxury",Sedan,16,10
MAYBACH 62,MAYBACH,62,2010,premium unleaded (required),604,12,Automatic,RearWheelDrive,4,"Exotic,Luxury,High-Performance",Sedan,16,10
MAYBACH LANDAULET,MAYBACH,Landaulet,2011,premium unleaded (required),620,12,Automatic,RearWheelDrive,4,"Exotic,Luxury,High-Performance",Convertible,16,10
MAZDA 2,MAZDA,2,2012,regular unleaded,100,4,Manual,FrontWheelDrive,4,Hatchback,Hatchback,35,29
MAZDA 3,MAZDA,3,2015,regular unleaded,184,4,Manual,FrontWheelDrive,4,Performance,Sedan,37,25
MAZDA 323,MAZDA,323,1992,regular unleaded,82,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,33,25
MAZDA 5,MAZDA,5,2013,regular unleaded,157,4,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,28,22
MAZDA 6,MAZDA,6,2015,regular unleaded,184,4,Automatic,FrontWheelDrive,4,N/A,Sedan,38,26
MAZDA 626,MAZDA,626,2000,regular unleaded,170,6,Manual,FrontWheelDrive,4,N/A,Sedan,25,19
MAZDA 929,MAZDA,929,1993,regular unleaded,195,6,Automatic,RearWheelDrive,4,N/A,Sedan,22,17
MAZDA B-SERIES,MAZDA,B-Series,2001,regular unleaded,150,6,Manual,four wheel drive,2,N/A,Extended Cab Pickup,19,15
MAZDA B-SERIES PICKUP,MAZDA,B-Series Pickup,1998,regular unleaded,119,4,Manual,RearWheelDrive,2,N/A,Regular Cab Pickup,24,19
MAZDA B-SERIES TRUCK,MAZDA,B-Series Truck,2007,regular unleaded,207,6,Automatic,four wheel drive,4,N/A,Extended Cab Pickup,17,14
MAZDA CX-3,MAZDA,CX-3,2016,regular unleaded,146,4,Automatic,FrontWheelDrive,4,Crossover,SUV,35,29
MAZDA CX-5,MAZDA,CX-5,2014,regular unleaded,155,4,Automatic,FrontWheelDrive,4,Crossover,SUV,32,26
MAZDA CX-7,MAZDA,CX-7,2010,premium unleaded (recommended),244,4,Automatic,FrontWheelDrive,4,Crossover,SUV,25,18
MAZDA CX-9,MAZDA,CX-9,2014,regular unleaded,273,6,Automatic,AllWheelDrive,4,Crossover,SUV,22,16
MAZDA MAZDASPEED 3,MAZDA,Mazdaspeed 3,2011,premium unleaded (required),263,4,Manual,FrontWheelDrive,4,"Hatchback,Factory Tuner,Performance",Hatchback,25,18
MAZDA MAZDASPEED 6,MAZDA,Mazdaspeed 6,2006,premium unleaded (required),274,4,Manual,AllWheelDrive,4,"Factory Tuner,Performance",Sedan,23,17
MAZDA MAZDASPEED MX-5 MIATA,MAZDA,Mazdaspeed MX-5 Miata,2004,premium unleaded (required),178,4,Manual,RearWheelDrive,2,"Factory Tuner,Performance",Convertible,24,18
MAZDA MAZDASPEED PROTEGE,MAZDA,Mazdaspeed Protege,2003,premium unleaded (required),170,4,Manual,FrontWheelDrive,4,"Factory Tuner,Performance",Sedan,27,21
MAZDA MILLENIA,MAZDA,Millenia,2000,regular unleaded,210,6,Automatic,FrontWheelDrive,4,Performance,Sedan,25,17
MAZDA MPV,MAZDA,MPV,2004,regular unleaded,200,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,23,16
MAZDA MX-3,MAZDA,MX-3,1993,regular unleaded,130,6,Manual,FrontWheelDrive,2,Hatchback,Hatchback,26,20
MAZDA MX-5 MIATA,MAZDA,MX-5 Miata,2014,premium unleaded (recommended),158,4,Automatic,RearWheelDrive,2,Performance,Convertible,28,21
MAZDA MX-6,MAZDA,MX-6,1995,regular unleaded,164,6,Manual,FrontWheelDrive,2,Performance,Coupe,24,18
MAZDA NAVAJO,MAZDA,Navajo,1992,regular unleaded,155,6,Manual,four wheel drive,2,N/A,SUV,20,15
MAZDA PROTEGE,MAZDA,Protege,2001,regular unleaded,130,4,Manual,FrontWheelDrive,4,N/A,Sedan,28,22
MAZDA PROTEGE5,MAZDA,Protege5,2002,regular unleaded,130,4,Manual,FrontWheelDrive,4,N/A,Wagon,28,22
MAZDA RX-7,MAZDA,RX-7,1993,regular unleaded,255,,Manual,RearWheelDrive,2,"Factory Tuner,Performance",Coupe,23,15
MAZDA RX-8,MAZDA,RX-8,2009,premium unleaded (required),232,,Manual,RearWheelDrive,4,Performance,Coupe,22,16
MAZDA TRIBUTE,MAZDA,Tribute,2009,regular unleaded,171,4,Automatic,AllWheelDrive,4,Crossover,SUV,25,19
MAZDA TRIBUTE HYBRID,MAZDA,Tribute Hybrid,2008,regular unleaded,133,4,Automatic,FrontWheelDrive,4,"Crossover,Hybrid",SUV,30,34
MAZDA TRUCK,MAZDA,Truck,2002,regular unleaded,135,4,Manual,RearWheelDrive,2,N/A,Regular Cab Pickup,25,21
MCLAREN 570S,MCLAREN,570S,2016,premium unleaded (required),562,8,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,23,16
MCLAREN 650S COUPE,MCLAREN,650S Coupe,2015,premium unleaded (required),641,8,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,22,16
MCLAREN 650S SPIDER,MCLAREN,650S Spider,2015,premium unleaded (required),641,8,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Convertible,22,16
MCLAREN MP4-12C,MCLAREN,MP4-12C,2012,premium unleaded (required),592,8,Automated_Manual,RearWheelDrive,2,"Exotic,High-Performance",Coupe,22,15
MERCEDES-BENZ 190-CLASS,MERCEDES-BENZ,190-Class,1991,regular unleaded,130,4,Manual,RearWheelDrive,4,Luxury,Sedan,26,18
MERCEDES-BENZ 300-CLASS,MERCEDES-BENZ,300-Class,1991,regular unleaded,177,6,Automatic,RearWheelDrive,4,Luxury,Sedan,19,15
MERCEDES-BENZ 350-CLASS,MERCEDES-BENZ,350-Class,1990,diesel,134,6,Automatic,RearWheelDrive,4,"Diesel,Luxury",Sedan,23,19
MERCEDES-BENZ 400-CLASS,MERCEDES-BENZ,400-Class,1992,regular unleaded,268,8,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,20,15
MERCEDES-BENZ 420-CLASS,MERCEDES-BENZ,420-Class,1990,regular unleaded,201,8,Automatic,RearWheelDrive,4,Luxury,Sedan,17,14
MERCEDES-BENZ 500-CLASS,MERCEDES-BENZ,500-Class,1991,regular unleaded,322,8,Automatic,RearWheelDrive,2,"Luxury,Performance",Convertible,17,13
MERCEDES-BENZ 560-CLASS,MERCEDES-BENZ,560-Class,1990,regular unleaded,238,8,Automatic,RearWheelDrive,2,Luxury,Coupe,16,12
MERCEDES-BENZ 600-CLASS,MERCEDES-BENZ,600-Class,1992,regular unleaded,402,12,Automatic,RearWheelDrive,4,Luxury,Sedan,14,10
MERCEDES-BENZ AMG GT,MERCEDES-BENZ,AMG GT,2016,premium unleaded (required),503,8,Automated_Manual,RearWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,22,16
MERCEDES-BENZ B-CLASS ELECTRIC DRIVE,MERCEDES-BENZ,B-Class Electric Drive,2015,electric,177,0,Direct_Drive,FrontWheelDrive,4,"Hatchback,Luxury",Hatchback,82,85
MERCEDES-BENZ C36 AMG,MERCEDES-BENZ,C36 AMG,1995,regular unleaded,268,6,Automatic,RearWheelDrive,4,"Factory Tuner,Luxury,Performance",Sedan,20,16
MERCEDES-BENZ C43 AMG,MERCEDES-BENZ,C43 AMG,1998,regular unleaded,302,8,Automatic,RearWheelDrive,4,"Factory Tuner,Luxury,Performance",Sedan,21,16
MERCEDES-BENZ C-CLASS,MERCEDES-BENZ,C-Class,2015,premium unleaded (required),241,4,Automatic,AllWheelDrive,4,Luxury,Sedan,31,24
MERCEDES-BENZ CLA-CLASS,MERCEDES-BENZ,CLA-Class,2015,premium unleaded (required),208,4,Automated_Manual,FrontWheelDrive,4,Luxury,Sedan,38,26
MERCEDES-BENZ CL-CLASS,MERCEDES-BENZ,CL-Class,2012,premium unleaded (required),621,12,Automatic,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,18,12
MERCEDES-BENZ CLK-CLASS,MERCEDES-BENZ,CLK-Class,2007,premium unleaded (required),268,6,Automatic,RearWheelDrive,2,"Luxury,Performance",Convertible,25,17
MERCEDES-BENZ CLS-CLASS,MERCEDES-BENZ,CLS-Class,2015,premium unleaded (required),402,8,Automatic,RearWheelDrive,4,"Luxury,High-Performance",Sedan,26,17
MERCEDES-BENZ E55 AMG,MERCEDES-BENZ,E55 AMG,1999,regular unleaded,349,8,Automatic,RearWheelDrive,4,"Factory Tuner,Luxury,Performance",Sedan,21,15
MERCEDES-BENZ E-CLASS,MERCEDES-BENZ,E-Class,2015,premium unleaded (required),329,6,Automatic,AllWheelDrive,2,"Luxury,Performance",Coupe,28,20
MERCEDES-BENZ G-CLASS,MERCEDES-BENZ,G-Class,2015,premium unleaded (required),382,8,Automatic,four wheel drive,4,Luxury,SUV,15,12
MERCEDES-BENZ GLA-CLASS,MERCEDES-BENZ,GLA-Class,2015,premium unleaded (required),208,4,Automated_Manual,FrontWheelDrive,4,"Crossover,Luxury",SUV,35,25
MERCEDES-BENZ GLC-CLASS,MERCEDES-BENZ,GLC-Class,2016,premium unleaded (required),241,4,Automatic,RearWheelDrive,4,"Crossover,Luxury",SUV,28,22
MERCEDES-BENZ GL-CLASS,MERCEDES-BENZ,GL-Class,2014,diesel,240,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Diesel",SUV,26,19
MERCEDES-BENZ GLE-CLASS,MERCEDES-BENZ,GLE-Class,2016,premium unleaded (required),329,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Performance",SUV,22,18
MERCEDES-BENZ GLE-CLASS COUPE,MERCEDES-BENZ,GLE-Class Coupe,2016,premium unleaded (required),362,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Performance",SUV,23,17
MERCEDES-BENZ GLK-CLASS,MERCEDES-BENZ,GLK-Class,2013,premium unleaded (required),302,6,Automatic,RearWheelDrive,4,"Crossover,Luxury,Performance",SUV,25,19
MERCEDES-BENZ GLS-CLASS,MERCEDES-BENZ,GLS-Class,2017,premium unleaded (required),577,8,Automatic,AllWheelDrive,4,"Crossover,Factory Tuner,Luxury,High-Performance",SUV,17,13
MERCEDES-BENZ MAYBACH,MERCEDES-BENZ,Maybach,2016,premium unleaded (required),523,12,Automatic,RearWheelDrive,4,"Exotic,Luxury,High-Performance",Sedan,20,13
MERCEDES-BENZ M-CLASS,MERCEDES-BENZ,M-Class,2013,diesel,240,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Diesel",SUV,28,20
MERCEDES-BENZ METRIS,MERCEDES-BENZ,Metris,2016,premium unleaded (recommended),208,4,Automatic,RearWheelDrive,4,Luxury,Passenger Minivan,23,20
MERCEDES-BENZ ML55 AMG,MERCEDES-BENZ,ML55 AMG,2000,regular unleaded,342,8,Automatic,AllWheelDrive,4,"Factory Tuner,Luxury,Performance",SUV,16,12
MERCEDES-BENZ R-CLASS,MERCEDES-BENZ,R-Class,2010,premium unleaded (required),268,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",Wagon,19,14
MERCEDES-BENZ S-CLASS,MERCEDES-BENZ,S-Class,2015,premium unleaded (required),449,8,Automatic,RearWheelDrive,4,"Luxury,High-Performance",Sedan,26,17
MERCEDES-BENZ SLC-CLASS,MERCEDES-BENZ,SLC-Class,2017,premium unleaded (required),362,6,Automatic,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Convertible,29,20
MERCEDES-BENZ SL-CLASS,MERCEDES-BENZ,SL-Class,2015,premium unleaded (required),329,6,Automatic,RearWheelDrive,2,"Luxury,High-Performance",Convertible,27,20
MERCEDES-BENZ SLK-CLASS,MERCEDES-BENZ,SLK-Class,2014,premium unleaded (required),302,6,Automatic,RearWheelDrive,2,"Luxury,High-Performance",Convertible,29,21
MERCEDES-BENZ SLR MCLAREN,MERCEDES-BENZ,SLR McLaren,2007,premium unleaded (required),641,8,Automatic,RearWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,16,11
MERCEDES-BENZ SLS AMG,MERCEDES-BENZ,SLS AMG,2011,premium unleaded (required),563,8,Automated_Manual,RearWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,20,14
MERCEDES-BENZ SLS AMG GT,MERCEDES-BENZ,SLS AMG GT,2013,premium unleaded (required),583,8,Automated_Manual,RearWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,19,13
MERCEDES-BENZ SLS AMG GT FINAL EDITION,MERCEDES-BENZ,SLS AMG GT Final Edition,2015,premium unleaded (required),583,8,Automated_Manual,RearWheelDrive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Coupe,19,13
MITSUBISHI 3000GT,MITSUBISHI,3000GT,1997,regular unleaded,218,6,Manual,FrontWheelDrive,2,"Hatchback,Performance",Hatchback,23,17
MITSUBISHI DIAMANTE,MITSUBISHI,Diamante,2002,premium unleaded (required),205,6,Automatic,FrontWheelDrive,4,N/A,Sedan,23,16
MITSUBISHI ECLIPSE,MITSUBISHI,Eclipse,2010,regular unleaded,162,4,Automatic,FrontWheelDrive,2,Hatchback,Hatchback,27,20
MITSUBISHI ECLIPSE SPYDER,MITSUBISHI,Eclipse Spyder,2010,regular unleaded,162,4,Automatic,FrontWheelDrive,2,N/A,Convertible,26,19
MITSUBISHI ENDEAVOR,MITSUBISHI,Endeavor,2008,premium unleaded (required),225,6,Automatic,AllWheelDrive,4,Crossover,SUV,19,15
MITSUBISHI EXPO,MITSUBISHI,Expo,1993,regular unleaded,136,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,26,19
MITSUBISHI GALANT,MITSUBISHI,Galant,2010,regular unleaded,160,4,Automatic,FrontWheelDrive,4,N/A,Sedan,30,21
MITSUBISHI I-MIEV,MITSUBISHI,i-MiEV,2014,electric,,,Direct_Drive,RearWheelDrive,4,Hatchback,Hatchback,99,126
MITSUBISHI LANCER,MITSUBISHI,Lancer,2015,regular unleaded,148,4,Manual,FrontWheelDrive,4,N/A,Sedan,34,25
MITSUBISHI LANCER EVOLUTION,MITSUBISHI,Lancer Evolution,2013,premium unleaded (required),291,4,Automated_Manual,AllWheelDrive,4,"Factory Tuner,Performance",Sedan,22,17
MITSUBISHI LANCER SPORTBACK,MITSUBISHI,Lancer Sportback,2012,regular unleaded,168,4,Automatic,FrontWheelDrive,4,Hatchback,Hatchback,29,22
MITSUBISHI MIGHTY MAX PICKUP,MITSUBISHI,Mighty Max Pickup,1994,regular unleaded,116,4,Manual,RearWheelDrive,2,N/A,Regular Cab Pickup,23,18
MITSUBISHI MIRAGE,MITSUBISHI,Mirage,2014,regular unleaded,74,3,Manual,FrontWheelDrive,4,Hatchback,Hatchback,42,34
MITSUBISHI MIRAGE G4,MITSUBISHI,Mirage G4,2017,regular unleaded,78,3,Manual,FrontWheelDrive,4,N/A,Sedan,40,33
MITSUBISHI MONTERO,MITSUBISHI,Montero,2004,regular unleaded,215,6,Automatic,four wheel drive,4,N/A,SUV,18,13
MITSUBISHI MONTERO SPORT,MITSUBISHI,Montero Sport,2002,regular unleaded,197,6,Automatic,RearWheelDrive,4,N/A,SUV,20,15
MITSUBISHI OUTLANDER,MITSUBISHI,Outlander,2015,regular unleaded,166,4,Automatic,AllWheelDrive,4,Crossover,SUV,29,24
MITSUBISHI OUTLANDER SPORT,MITSUBISHI,Outlander Sport,2015,regular unleaded,148,4,Automatic,four wheel drive,4,Crossover,SUV,30,24
MITSUBISHI PRECIS,MITSUBISHI,Precis,1992,regular unleaded,81,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,30,25
MITSUBISHI RAIDER,MITSUBISHI,Raider,2007,regular unleaded,210,6,Automatic,RearWheelDrive,4,N/A,Crew Cab Pickup,20,15
MITSUBISHI SIGMA,MITSUBISHI,Sigma,1990,regular unleaded,142,6,Automatic,FrontWheelDrive,4,N/A,Sedan,20,16
MITSUBISHI VANWAGON,MITSUBISHI,Vanwagon,1990,regular unleaded,107,4,Automatic,RearWheelDrive,3,N/A,Passenger Minivan,19,16
NISSAN 200SX,NISSAN,200SX,1996,regular unleaded,115,4,Manual,FrontWheelDrive,2,N/A,Coupe,36,26
NISSAN 240SX,NISSAN,240SX,1996,regular unleaded,155,4,Manual,RearWheelDrive,2,Performance,Coupe,26,19
NISSAN 300ZX,NISSAN,300ZX,1994,regular unleaded,222,6,Manual,RearWheelDrive,2,Performance,Convertible,22,16
NISSAN 350Z,NISSAN,350Z,2007,regular unleaded,306,6,Automatic,RearWheelDrive,2,High-Performance,Convertible,23,17
NISSAN 370Z,NISSAN,370Z,2015,premium unleaded (required),350,6,Automatic,RearWheelDrive,2,"Factory Tuner,High-Performance",Coupe,26,19
NISSAN ALTIMA,NISSAN,Altima,2015,regular unleaded,182,4,Automatic,FrontWheelDrive,4,N/A,Sedan,38,27
NISSAN ALTIMA HYBRID,NISSAN,Altima Hybrid,2009,regular unleaded,198,4,Automatic,FrontWheelDrive,4,Hybrid,Sedan,33,35
NISSAN ARMADA,NISSAN,Armada,2014,regular unleaded,317,8,Automatic,RearWheelDrive,4,Flex Fuel,SUV,19,13
NISSAN AXXESS,NISSAN,Axxess,1990,regular unleaded,138,4,Manual,FrontWheelDrive,3,N/A,Passenger Minivan,24,19
NISSAN CUBE,NISSAN,Cube,2012,regular unleaded,122,4,Manual,FrontWheelDrive,4,N/A,Wagon,30,25
NISSAN FRONTIER,NISSAN,Frontier,2015,regular unleaded,261,6,Automatic,RearWheelDrive,4,N/A,Crew Cab Pickup,21,15
NISSAN GT-R,NISSAN,GT-R,2015,premium unleaded (recommended),545,6,Automated_Manual,AllWheelDrive,2,High-Performance,Coupe,23,16
NISSAN JUKE,NISSAN,Juke,2015,premium unleaded (recommended),188,4,Automatic,FrontWheelDrive,4,"Crossover,Hatchback",Hatchback,32,28
NISSAN LEAF,NISSAN,Leaf,2014,electric,,0,Direct_Drive,FrontWheelDrive,4,Hatchback,Hatchback,101,126
NISSAN MAXIMA,NISSAN,Maxima,2014,premium unleaded (recommended),290,6,Automatic,FrontWheelDrive,4,Performance,Sedan,26,19
NISSAN MURANO,NISSAN,Murano,2015,regular unleaded,260,6,Automatic,FrontWheelDrive,4,Crossover,SUV,28,21
NISSAN MURANO CROSSCABRIOLET,NISSAN,Murano CrossCabriolet,2012,premium unleaded (recommended),265,6,Automatic,AllWheelDrive,2,Crossover,Convertible SUV,22,17
NISSAN NV200,NISSAN,NV200,2015,regular unleaded,131,4,Automatic,FrontWheelDrive,4,N/A,Cargo Minivan,26,24
NISSAN NX,NISSAN,NX,1991,regular unleaded,140,4,Manual,FrontWheelDrive,2,"Hatchback,Performance",Hatchback,28,21
NISSAN PATHFINDER,NISSAN,Pathfinder,2015,regular unleaded,260,6,Automatic,FrontWheelDrive,4,Crossover,SUV,27,20
NISSAN PULSAR,NISSAN,Pulsar,1990,regular unleaded,90,4,Manual,FrontWheelDrive,2,N/A,Coupe,31,23
NISSAN QUEST,NISSAN,Quest,2014,regular unleaded,260,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,25,19
NISSAN ROGUE,NISSAN,Rogue,2015,regular unleaded,170,4,Automatic,AllWheelDrive,4,Crossover,SUV,32,25
NISSAN ROGUE SELECT,NISSAN,Rogue Select,2014,regular unleaded,170,4,Automatic,FrontWheelDrive,4,Crossover,SUV,28,23
NISSAN SENTRA,NISSAN,Sentra,2015,regular unleaded,130,4,Automatic,FrontWheelDrive,4,N/A,Sedan,39,30
NISSAN STANZA,NISSAN,Stanza,1990,regular unleaded,138,4,Manual,FrontWheelDrive,4,N/A,Sedan,26,19
NISSAN TITAN,NISSAN,Titan,2014,regular unleaded,317,8,Automatic,four wheel drive,4,Flex Fuel,Crew Cab Pickup,17,12
NISSAN TRUCK,NISSAN,Truck,1995,regular unleaded,134,4,Manual,RearWheelDrive,2,N/A,Extended Cab Pickup,24,19
NISSAN VAN,NISSAN,Van,1990,regular unleaded,106,4,Automatic,RearWheelDrive,3,N/A,Passenger Minivan,19,15
NISSAN VERSA,NISSAN,Versa,2015,regular unleaded,109,4,Automatic,FrontWheelDrive,4,N/A,Sedan,40,31
NISSAN VERSA NOTE,NISSAN,Versa Note,2015,regular unleaded,109,4,Automatic,FrontWheelDrive,4,Hatchback,Hatchback,40,31
NISSAN XTERRA,NISSAN,Xterra,2013,regular unleaded,261,6,Automatic,four wheel drive,4,N/A,SUV,20,15
OLDSMOBILE ACHIEVA,OLDSMOBILE,Achieva,1996,regular unleaded,150,4,Manual,FrontWheelDrive,4,N/A,Sedan,30,20
OLDSMOBILE ALERO,OLDSMOBILE,Alero,2002,regular unleaded,170,6,Automatic,FrontWheelDrive,2,N/A,Coupe,27,18
OLDSMOBILE AURORA,OLDSMOBILE,Aurora,2001,premium unleaded (required),250,8,Automatic,FrontWheelDrive,4,Performance,Sedan,23,15
OLDSMOBILE BRAVADA,OLDSMOBILE,Bravada,2002,regular unleaded,270,6,Automatic,AllWheelDrive,4,N/A,SUV,19,14
OLDSMOBILE CIERA,OLDSMOBILE,Ciera,1995,regular unleaded,160,6,Automatic,FrontWheelDrive,4,N/A,Wagon,26,17
OLDSMOBILE CUSTOM CRUISER,OLDSMOBILE,Custom Cruiser,1990,regular unleaded,140,8,Automatic,RearWheelDrive,4,N/A,Wagon,22,15
OLDSMOBILE CUTLASS,OLDSMOBILE,Cutlass,1997,regular unleaded,155,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,18
OLDSMOBILE CUTLASS CALAIS,OLDSMOBILE,Cutlass Calais,1990,regular unleaded,110,4,Manual,FrontWheelDrive,4,N/A,Sedan,30,19
OLDSMOBILE CUTLASS CIERA,OLDSMOBILE,Cutlass Ciera,1992,regular unleaded,160,6,Automatic,FrontWheelDrive,4,N/A,Sedan,24,17
OLDSMOBILE CUTLASS SUPREME,OLDSMOBILE,Cutlass Supreme,1995,regular unleaded,160,6,Automatic,FrontWheelDrive,2,N/A,Coupe,26,17
OLDSMOBILE EIGHTY-EIGHT,OLDSMOBILE,Eighty-Eight,1997,regular unleaded,205,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,17
OLDSMOBILE EIGHTY-EIGHT ROYALE,OLDSMOBILE,Eighty-Eight Royale,1993,regular unleaded,170,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,17
OLDSMOBILE INTRIGUE,OLDSMOBILE,Intrigue,2000,regular unleaded,215,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,17
OLDSMOBILE LSS,OLDSMOBILE,LSS,1997,regular unleaded,240,6,Automatic,FrontWheelDrive,4,N/A,Sedan,24,16
OLDSMOBILE NINETY-EIGHT,OLDSMOBILE,Ninety-Eight,1994,regular unleaded,170,6,Automatic,FrontWheelDrive,4,N/A,Sedan,25,17
OLDSMOBILE REGENCY,OLDSMOBILE,Regency,1997,regular unleaded,205,6,Automatic,FrontWheelDrive,4,N/A,Sedan,26,17
OLDSMOBILE SILHOUETTE,OLDSMOBILE,Silhouette,2002,regular unleaded,185,6,Automatic,AllWheelDrive,4,N/A,Passenger Minivan,22,16
OLDSMOBILE TORONADO,OLDSMOBILE,Toronado,1990,regular unleaded,165,6,Automatic,FrontWheelDrive,2,N/A,Coupe,24,16
PLYMOUTH ACCLAIM,PLYMOUTH,Acclaim,1993,regular unleaded,100,4,Manual,FrontWheelDrive,4,N/A,Sedan,29,22
PLYMOUTH BREEZE,PLYMOUTH,Breeze,1998,regular unleaded,132,4,Manual,FrontWheelDrive,4,N/A,Sedan,33,23
PLYMOUTH COLT,PLYMOUTH,Colt,1992,regular unleaded,113,4,Manual,FrontWheelDrive,4,N/A,Wagon,26,21
PLYMOUTH GRAND VOYAGER,PLYMOUTH,Grand Voyager,1998,regular unleaded,150,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,24,17
PLYMOUTH HORIZON,PLYMOUTH,Horizon,1990,regular unleaded,93,4,Manual,FrontWheelDrive,4,Hatchback,Hatchback,31,22
PLYMOUTH LASER,PLYMOUTH,Laser,1992,regular unleaded,92,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,29,21
PLYMOUTH NEON,PLYMOUTH,Neon,1999,regular unleaded,132,4,Manual,FrontWheelDrive,2,N/A,Coupe,36,24
PLYMOUTH PROWLER,PLYMOUTH,Prowler,1999,regular unleaded,253,6,Automatic,RearWheelDrive,2,Performance,Convertible,21,15
PLYMOUTH SUNDANCE,PLYMOUTH,Sundance,1992,regular unleaded,100,4,Manual,FrontWheelDrive,4,Hatchback,Hatchback,29,20
PLYMOUTH VOYAGER,PLYMOUTH,Voyager,1998,regular unleaded,150,4,Automatic,FrontWheelDrive,3,N/A,Passenger Minivan,24,18
PONTIAC 6000,PONTIAC,6000,1990,regular unleaded,140,6,Automatic,FrontWheelDrive,4,N/A,Sedan,27,17
